0,1,2,3,4,5,6,7,8,9,10,11,12,13
Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Coast Live Oak (Quercus agrifolia),Tree,"25 - 82 ft tall
15 - 35 ft wide",Rounded,"Moderate, Slow",Evergreen,None,"Yellow, Cream, Green"
California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),California Fuchsia (Epilobium canum),Perennial herb,"0.25 - 1.5 ft tall
2-3 ft wide",Spreading,Fast,Winter Semi-Deciduous,None,Red
California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),California Aster (Corethrogyne filaginifolia),Perennial herb,"0.7 - 3.3 ft tall
1 - 6 ft wide","Mounding, Spreading",Fast,Evergreen,None,"Pink, Purple, White"
Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),Blue Elderberry (Sambucus mexicana),"Shrub, Tree","20 - 30 ft tall
20 - 30 ft wide",Fountain,Fast,Winter Deciduous,None,"Cream, Yellow, Purple"
Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Lemonade Berry (Rhus integrifolia),Shrub,"3 - 30 ft tall
3 - 20 ft wide","Mounding, Rounded","Fast, Moderate",Evergreen,None,"Pink, White"
Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Silver Lupine (Lupinus albifrons),Shrub,"3.2 - 5 ft tall
2 - 3 ft wide","Mounding, Spreading",Fast,Evergreen,Fragrant - Pleasant,"Blue, Lavender, Purple"
coffeeberry (Frangula californica),coffeeberry (Frangula californica),coffeeberry (Frangula californica),coffeeberry (Frangula californica),coffeeberry (Frangula californica),coffeeberry (Frangula californica),coffeeberry (Frangula californica),Shrub,"6 - 15 ft tall
5 - 15 Feet wide","Mounding, Rounded, Spreading",Moderate,Evergreen,None,"Cream, Green, White"
Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Farewell To Spring (Clarkia amoena),Annual herb,1.5 - 3.3 ft tall,Fast,"Lavender, Pink, Purple, Red","Spring, Summer","Bees, butterflies","*
White-lined Sphinx
Hyles lineata

*
Pacific Green Sphinx Moth
Proserpinus lucidus

*
Clark's Day Sphinx Moth
Proserpinus clarkiae

*
Mariposa Forester
Alypia mariposa

*
Aetole extraneella"
Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Giant Wildrye (Elymus condensatus),Grasses,"3 - 6 ft tall
2 - 8 ft wide","Fountain, Weeping",Moderate,Evergreen,None,Brown
Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Big Saltbush (Atriplex lentiformis),Shrub,"3.3 - 10 ft tall
10 ft wide","Upright, Mounding, Rounded","Fast, Moderate",Evergreen,"Yellow, Brown",Summer
coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),coyote bush (Baccharis pilularis),Shrub,"1.5 - 10 ft tall
12 ft wide","Mounding, Spreading","Fast, Moderate",Evergreen,None,"Yellow, Cream, White"
